,author,title
0,"Le Fanu, Joseph Sheridan",Carmilla
1,"Le Fanu, Joseph Sheridan",The Evil Guest
2,"Le Fanu, Joseph Sheridan",Madam Crowl's Ghost and the Dead Sexton
3,"Le Fanu, Joseph Sheridan",Green Tea;  Mr. Justice Harbottle
4,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 1"
5,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 2"
6,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 3: The Haunted Baronet (1871)"
7,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 5"
8,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 4"
9,"Le Fanu, Joseph Sheridan",Two Ghostly Mysteries: A Chapter in the History of a Tyrone Family; and the Murdered Cousin
10,"Le Fanu, Joseph Sheridan",Uncle Silas: A Tale of Bartram-Haugh
11,"Le Fanu, Joseph Sheridan",The House by the Church-Yard
12,"Le Fanu, Joseph Sheridan","A Stable for Nightmares; or, Weird Tales"
13,"Le Fanu, Joseph Sheridan","In a Glass Darkly, v. 1/3"
14,"Le Fanu, Joseph Sheridan","In a Glass Darkly, v. 2/3"
15,"Le Fanu, Joseph Sheridan","In a Glass Darkly, v. 3/3"
16,"Le Fanu, Joseph Sheridan",Checkmate
17,"Le Fanu, Joseph Sheridan",The Cock and Anchor
18,"Le Fanu, Joseph Sheridan","The Watcher, and other weird stories"
19,"Le Fanu, Joseph Sheridan",The Purcell Papers — Volume 1
20,"Le Fanu, Joseph Sheridan",The Purcell Papers — Volume 2
21,"Le Fanu, Joseph Sheridan",The Purcell Papers — Volume 3
22,"Le Fanu, Joseph Sheridan",The Room in the Dragon Volant
23,"Le Fanu, Joseph Sheridan",Wylder's Hand
24,"White, Stewart Edward",The Mystery
25,"White, Stewart Edward",The Claim Jumpers: A Romance
26,"White, Stewart Edward",The Riverman
27,"White, Stewart Edward",The Call of the North
28,"White, Stewart Edward",The Forty-Niners: A Chronicle of the California Trail and El Dorado
29,"White, Stewart Edward",The Rules of the Game
30,"White, Stewart Edward",The Land of Footprints
31,"White, Stewart Edward",African Camp Fires
32,"White, Stewart Edward",The Silent Places
33,"White, Stewart Edward",The Killer
34,"White, Stewart Edward",Conjuror's House: A Romance of the Free Forest
35,"White, Stewart Edward","Blazed Trail Stories, and Stories of the Wild Life"
36,"White, Stewart Edward",The Adventures of Bobby Orde
37,"White, Stewart Edward",Gold
38,"White, Stewart Edward",Camp and Trail
39,"White, Stewart Edward",The Blazed Trail
40,"White, Stewart Edward",The Westerners
41,"White, Stewart Edward",The Mountains
42,"White, Stewart Edward",Arizona Nights
43,"White, Stewart Edward",The Sign at Six
44,"White, Stewart Edward",The Gray Dawn
45,"White, Stewart Edward",The Forest
46,"White, Stewart Edward",The Leopard Woman
47,"Cabell, James Branch",The Rivet in Grandfather's Neck: A Comedy of Limitations
48,"Cabell, James Branch",The Eagle's Shadow
49,"Cabell, James Branch",Figures of Earth: A Comedy of Appearances
50,"Cabell, James Branch",Chivalry: Dizain des Reines
51,"Cabell, James Branch",Chivalry
52,"Cabell, James Branch",The Certain Hour (Dizain des Poëtes)
53,"Cabell, James Branch",Gallantry: Dizain des Fetes Galantes
54,"Cabell, James Branch",Jurgen: A Comedy of Justice
55,"Cabell, James Branch",The Line of Love; Dizain des Mariages
56,"Cabell, James Branch",The Cords of Vanity: A Comedy of Shirking
57,"Cabell, James Branch",Domnei: A Comedy of Woman-Worship
58,"Wood, William",The Father of British Canada: a Chronicle of Carleton
59,"Wood, William",Elizabethan Sea-Dogs: A Chronicle of Drake and His Companions
60,"Wood, William",The War With the United States : A Chronicle of 1812
61,"Wood, William","Animal Sanctuaries in Labrador: An Address Presented by Lt.-Colonel William Wood, F.R.S.C. before the Second Annual Meeting of the Commission of Conservation at Quebec, January, 1911"
62,"Wood, William",Flag and Fleet: How the British Navy Won the Freedom of the Seas
63,"Wood, William",All Afloat: A Chronicle of Craft and Waterways
64,"Wood, William",Captains of the Civil War: A Chronicle of the Blue and the Gray
65,"Wood, William",The Great Fortress : A chronicle of Louisbourg 1720-1760
66,"Wood, William",The Passing of New France : a Chronicle of Montcalm
67,"Wood, William",The Winning of Canada: a Chronicle of Wolfe
68,"Hancock, H. Irving (Harrie Irving)","Dave Darrin's Second Year at Annapolis: Or, Two Midshipmen as Naval Academy ""Youngsters"""
69,"Hancock, H. Irving (Harrie Irving)","Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen"
70,"Hancock, H. Irving (Harrie Irving)","The High School Freshmen; or, Dick & Co.'s First Year Pranks and Sports"
71,"Hancock, H. Irving (Harrie Irving)","The High School Pitcher; or, Dick & Co. on the Gridley Diamond"
72,"Hancock, H. Irving (Harrie Irving)","The High School Left End; or, Dick & Co. Grilling on the Football Gridiron"
73,"Hancock, H. Irving (Harrie Irving)","The High School Captain of the Team; or, Dick & Co. Leading the Athletic Vanguard"
74,"Hancock, H. Irving (Harrie Irving)",The High School Boys' Canoe Club
75,"Hancock, H. Irving (Harrie Irving)",The High School Boys in Summer Camp
76,"Hancock, H. Irving (Harrie Irving)",The High School Boys' Fishing Trip
77,"Hancock, H. Irving (Harrie Irving)",The High School Boys' Training Hike
78,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Colorado; Or, At Railroad Building in Earnest"
79,"Hancock, H. Irving (Harrie Irving)",The Grammar School Boys in Summer Athletics
80,"Hancock, H. Irving (Harrie Irving)",Dave Darrin's First Year at Annapolis: Two Plebe Midshipmen at the United States Naval Academy
81,"Hancock, H. Irving (Harrie Irving)",Dave Darrin's Fourth Year at Annapolis: Headed for Graduation and the Big Cruise
82,"Hancock, H. Irving (Harrie Irving)",Dave Darrin at Vera Cruz: Fighting with the U.S. Navy in Mexico
83,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Nevada; Or, Seeking Fortune on the Turn of a Pick"
84,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Mexico; Or, Fighting the Mine Swindlers"
85,"Hancock, H. Irving (Harrie Irving)","Dick Prescott's Third Year at West Point; Or, Standing Firm for Flag and Honor"
86,"Hancock, H. Irving (Harrie Irving)","Dick Prescotts's Fourth Year at West Point: Or, Ready to Drop the Gray for Shoulder Straps"
87,"Hancock, H. Irving (Harrie Irving)","Uncle Sam's Boys with Pershing's Troops: Or, Dick Prescott at Grips with the Boche"
88,"Hancock, H. Irving (Harrie Irving)","Dick Prescott's Second Year at West Point: Or, Finding the Glory of the Soldier's Life"
89,"Hancock, H. Irving (Harrie Irving)","The Young Engineers on the Gulf: Or, The Dread Mystery of the Million Dollar Breakwater"
90,"Hancock, H. Irving (Harrie Irving)","The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports"
91,"Hancock, H. Irving (Harrie Irving)","The Grammar School Boys of Gridley; or, Dick & Co. Start Things Moving"
92,"Hancock, H. Irving (Harrie Irving)","Dave Darrin on Mediterranean Service; or, With Dan Dalzell on European Duty"
93,"Hancock, H. Irving (Harrie Irving)","Dave Darrin After the Mine Layers; Or, Hitting the Enemy a Hard Naval Blow"
94,"Hancock, H. Irving (Harrie Irving)","Uncle Sam's Boys in the Philippines; or, Following the Flag against the Moros"
95,"Hancock, H. Irving (Harrie Irving)","Uncle Sam's Boys as Lieutenants; or, Serving Old Glory as Line Officers"
96,"Hancock, H. Irving (Harrie Irving)","Uncle Sam's Boys as Sergeants; or, Handling Their First Real Commands"
97,"Hancock, H. Irving (Harrie Irving)","Uncle Sam's Boys in the Ranks; or, Two Recruits in the United States Army"
98,"Hancock, H. Irving (Harrie Irving)","The Motor Boat Club and The Wireless; Or, the Dot, Dash and Dare Cruise"
99,"Hancock, H. Irving (Harrie Irving)","The Motor Boat Club in Florida; or, Laying the Ghost of Alligator Swamp"
100,"Hancock, H. Irving (Harrie Irving)","The Motor Boat Club off Long Island; or, A Daring Marine Game at Racing Speed"
101,"Hancock, H. Irving (Harrie Irving)","The Motor Boat Club at the Golden Gate; or, A Thrilling Capture in the Great Fog"
102,"Hancock, H. Irving (Harrie Irving)","Uncle Sam's Boys on Field Duty; or, Winning Corporal's Chevrons"
103,"Hancock, H. Irving (Harrie Irving)","Dick Prescott's First Year at West Point; Or, Two Chums in the Cadet Gray"
104,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Arizona; or, Laying Tracks on the Man-killer Quicksand"
105,"Buchan, John",Salute to Adventurers
106,"Buchan, John",The Half-Hearted
107,"Buchan, John",The Path of the King
108,"Buchan, John",The African Colony: Studies in the Reconstruction
109,"Buchan, John",Huntingtower
110,"Buchan, John",John Burnet of Barns: A Romance
111,"Buchan, John",The Thirty-Nine Steps
112,"Buchan, John",Greenmantle
113,"Buchan, John",Mr. Standfast
114,"Buchan, John",The Watcher by the Threshold
115,"Buchan, John",The Power-House
116,"Buchan, John",Midwinter: Certain Travellers in Old England
117,"Buchan, John",Prester John
118,"Buchan, John",The Moon Endureth: Tales and Fancies
119,"Oliphant, Mrs. (Margaret)",Old Lady Mary: A Story of the Seen and the Unseen
120,"Oliphant, Mrs. (Margaret)",A Little Pilgrim: Stories of the Seen and the Unseen
121,"Oliphant, Mrs. (Margaret)",The Little Pilgrim: Further Experiences.: Stories of the Seen and the Unseen.
122,"Oliphant, Mrs. (Margaret)","The Open Door, and the Portrait.: Stories of the Seen and the Unseen."
123,"Oliphant, Mrs. (Margaret)","A Beleaguered City: Being a Narrative of Certain Recent Events in the City of Semur, in the Department of the Haute Bourgogne. A Story of the Seen and the Unseen"
124,"Oliphant, Mrs. (Margaret)",A Little Pilgrim in the Unseen
125,"Oliphant, Mrs. (Margaret)",Jeanne D'Arc: Her Life And Death
126,"Oliphant, Mrs. (Margaret)","Royal Edinburgh: Her Saints, Kings, Prophets and Poets"
127,"Oliphant, Mrs. (Margaret)",The Perpetual Curate
128,"Oliphant, Mrs. (Margaret)","Phoebe, Junior"
129,"Oliphant, Mrs. (Margaret)",The Marriage of Elinor
130,"Oliphant, Mrs. (Margaret)",The Doctor's Family
131,"Oliphant, Mrs. (Margaret)",The Rector
132,"Oliphant, Mrs. (Margaret)",Sir Tom
133,"Oliphant, Mrs. (Margaret)",A Country Gentleman and His Family
134,"Oliphant, Mrs. (Margaret)","The Makers of Modern Rome, in Four Books"
135,"Oliphant, Mrs. (Margaret)","The Wizard's Son, Vol. 1 (of 3)"
136,"Oliphant, Mrs. (Margaret)","The Wizard's Son, Vol. 2 (of 3)"
137,"Oliphant, Mrs. (Margaret)","The Wizard's Son, Vol. 3 (of 3)"
138,"Oliphant, Mrs. (Margaret)","The Ladies Lindores, Vol. 1 (of 3)"
139,"Oliphant, Mrs. (Margaret)","The Ladies Lindores, Vol. 2 (of 3)"
140,"Oliphant, Mrs. (Margaret)","The Ladies Lindores, Vol. 3 (of 3)"
141,"Oliphant, Mrs. (Margaret)",At His Gates: A Novel. Vol. 1 (of 3)
142,"Oliphant, Mrs. (Margaret)",At His Gates: A Novel. Vol. 2 (of 3)
143,"Oliphant, Mrs. (Margaret)",At His Gates: A Novel. Vol. 3 (of 3)
144,"Oliphant, Mrs. (Margaret)","Hester: A Story of Contemporary Life, Volume 1 (of 3)"
145,"Oliphant, Mrs. (Margaret)","Hester: A Story of Contemporary Life, Volume 2 (of 3)"
146,"Oliphant, Mrs. (Margaret)","Hester: A Story of Contemporary Life, Volume 3 (of 3)"
147,"Oliphant, Mrs. (Margaret)",It was a Lover and His Lass
148,"Oliphant, Mrs. (Margaret)",The Last of the Mortimers: A Story in Two Voices
149,"Oliphant, Mrs. (Margaret)",The Sorceress; v. 1 of 3
150,"Oliphant, Mrs. (Margaret)","The Sorceress, v. 2 of 3"
151,"Oliphant, Mrs. (Margaret)",The Sorceress (complete)
152,"Oliphant, Mrs. (Margaret)",Whiteladies
153,"Oliphant, Mrs. (Margaret)","The Cuckoo in the Nest, v. 1/2"
154,"Oliphant, Mrs. (Margaret)",The Two Marys
155,"Oliphant, Mrs. (Margaret)","The Cuckoo in the Nest, v. 2/2"
156,"Oliphant, Mrs. (Margaret)","The Sorceress, v. 3 of 3"
157,"Oliphant, Mrs. (Margaret)",Ombra
158,"Oliphant, Mrs. (Margaret)",Historical Characters in the Reign of Queen Anne
159,"Oliphant, Mrs. (Margaret)",Heart and Cross
160,"Oliphant, Mrs. (Margaret)",Sir Robert's Fortune: A Novel
161,"Oliphant, Mrs. (Margaret)",The Laird of Norlaw; A Scottish Story
162,"Oliphant, Mrs. (Margaret)",Neighbours on the Green
163,"Oliphant, Mrs. (Margaret)",Squire Arden; volume 1 of 3
164,"Oliphant, Mrs. (Margaret)",Squire Arden; volume 2 of 3
165,"Oliphant, Mrs. (Margaret)",Squire Arden; volume 3 of 3
166,"Oliphant, Mrs. (Margaret)","The Athelings; or, the Three Gifts. Vol. 1/3"
167,"Oliphant, Mrs. (Margaret)",Brownlows: A Novel
168,"Oliphant, Mrs. (Margaret)",A Rose in June
169,"Oliphant, Mrs. (Margaret)","The Athelings; or, the Three Gifts. Vol. 2/3"
170,"Oliphant, Mrs. (Margaret)","The Athelings; or, the Three Gifts. Vol. 3/3"
171,"Oliphant, Mrs. (Margaret)","The Athelings; or, the Three Gifts. Complete"
172,"Oliphant, Mrs. (Margaret)",Madam: A Novel
173,"Oliphant, Mrs. (Margaret)",A House in Bloomsbury
174,"Oliphant, Mrs. (Margaret)",Old Mr. Tredgold
175,"Oliphant, Mrs. (Margaret)","The Unjust Steward; or, The Minister's Debt"
176,"Oliphant, Mrs. (Margaret)",The Ways of Life: Two Stories
177,"Oliphant, Mrs. (Margaret)",Two Strangers
178,"Oliphant, Mrs. (Margaret)",Who Was Lost and Is Found: A Novel
179,"Oliphant, Mrs. (Margaret)",Lady William
180,"Oliphant, Mrs. (Margaret)",A Son of the Soil
181,"Oliphant, Mrs. (Margaret)",The Minister's Wife
182,"Oliphant, Mrs. (Margaret)",The Three Brothers; vol. 1/3
183,"Oliphant, Mrs. (Margaret)",The Three Brothers; vol. 2/3
184,"Oliphant, Mrs. (Margaret)",The Three Brothers; vol. 3/3
185,"Oliphant, Mrs. (Margaret)",The Three Brothers; Complete
186,"Oliphant, Mrs. (Margaret)",Sons and Daughters
187,"Oliphant, Mrs. (Margaret)",Lady Car: The Sequel of a Life
188,"Oliphant, Mrs. (Margaret)",The Story of Valentine and His Brother
189,"Oliphant, Mrs. (Margaret)",Diana Trelawny
190,"Oliphant, Mrs. (Margaret)",Kirsteen: The Story of a Scotch Family Seventy Years Ago
191,"Oliphant, Mrs. (Margaret)",The Land of Darkness: Along with Some Further Chapters in the Experiences of the Little Pilgrim
192,"Oliphant, Mrs. (Margaret)",The Heir Presumptive and the Heir Apparent
193,"Oliphant, Mrs. (Margaret)",The Quiet Heart
194,"Oliphant, Mrs. (Margaret)",The Railway Man and His Children
195,"Oliphant, Mrs. (Margaret)",The Son of His Father; vol. 1/3
196,"Oliphant, Mrs. (Margaret)",The Son of His Father; vol. 2/3
197,"Oliphant, Mrs. (Margaret)",The Executor: Blackwood's Edinburgh Magazine vol. LXXXIX
198,"Oliphant, Mrs. (Margaret)",The Story of a Governess
199,"Oliphant, Mrs. (Margaret)",The Son of His Father; vol. 3/3
200,"Hope, Anthony",The Secret of the Tower
201,"Hope, Anthony",A Man of Mark
202,"Hope, Anthony",Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim: Sequel to The Prisoner of Zenda
203,"Hope, Anthony",Dolly Dialogues
204,"Hope, Anthony","The Indiscretion of the Duchess: Being a Story Concerning Two Ladies, a Nobleman, and a Necklace"
205,"Hope, Anthony",Father Stafford
206,"Hope, Anthony",Quisanté
207,"Hope, Anthony",Simon Dale
208,"Hope, Anthony",Tristram of Blent: An Episode in the Story of an Ancient House
209,"Hope, Anthony",Half a Hero: A Novel
210,"Hope, Anthony",The King's Mirror
211,"Hope, Anthony",Comedies of Courtship
212,"Hope, Anthony",Captain Dieppe
213,"Hope, Anthony",The Great Miss Driver
214,"Hope, Anthony",Helena's Path
215,"Hope, Anthony",Second String
216,"Hope, Anthony",Beaumaroy Home from the Wars
217,"Hope, Anthony",Sophy of Kravonia: A Novel
218,"Hope, Anthony",The Intrusions of Peggy
219,"Hope, Anthony",A Servant of the Public
220,"Hope, Anthony",Tales of two people
221,"Hope, Anthony",Lucinda
222,"Hope, Anthony",The Prisoner of Zenda
223,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces on Vacation
224,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces
225,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces and Uncle John
226,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces at Millville
227,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces out West
228,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces in Society
229,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces at Work
230,"Baum, L. Frank (Lyman Frank)",The Surprising Adventures of the Magical Monarch of Mo and His People
231,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces Abroad
232,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces in the Red Cross
233,"Baum, L. Frank (Lyman Frank)",Mary Louise and the Liberty Girls
234,"Baum, L. Frank (Lyman Frank)",Mary Louise in the Country
235,"Baum, L. Frank (Lyman Frank)",Dorothy and the Wizard in Oz
236,"Baum, L. Frank (Lyman Frank)",The Lost Princess of Oz
237,"Baum, L. Frank (Lyman Frank)",Mary Louise Solves a Mystery
238,"Baum, L. Frank (Lyman Frank)",Little Wizard Stories of Oz
239,"Baum, L. Frank (Lyman Frank)",Rinkitink in Oz
240,"Baum, L. Frank (Lyman Frank)",The Road to Oz
241,"Baum, L. Frank (Lyman Frank)",Policeman Bluejay
242,"Baum, L. Frank (Lyman Frank)",Twinkle and Chubbins: Their Astonishing Adventures in Nature-Fairyland
243,"Baum, L. Frank (Lyman Frank)",The Royal Book of Oz: In which the Scarecrow goes to search for his family tree and discovers that he is the Long Lost Emperor of the Silver Island
244,"Baum, L. Frank (Lyman Frank)","The Tin Woodman of Oz: A Faithful Story of the Astonishing Adventure Undertaken; by the Tin Woodman, assisted by Woot the Wanderer, the; Scarecrow of Oz, and Polychrome, the Rainbow's Daughter"
245,"Baum, L. Frank (Lyman Frank)",The Patchwork Girl of Oz
246,"Baum, L. Frank (Lyman Frank)","Ozma of Oz: A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein"
247,"Baum, L. Frank (Lyman Frank)",Aunt Jane's Nieces on the Ranch
248,"Baum, L. Frank (Lyman Frank)",Dot and Tot of Merryland
249,"Baum, L. Frank (Lyman Frank)",Sky Island: Being the Further Exciting Adventures of Trot and Cap'n Bill After Their Visit to the Sea Fairies
250,"Baum, L. Frank (Lyman Frank)","Glinda of Oz: In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good"
251,"Baum, L. Frank (Lyman Frank)",The Emerald City of Oz
252,"Baum, L. Frank (Lyman Frank)",The Magic of Oz
253,"Baum, L. Frank (Lyman Frank)",American Fairy Tales
254,"Baum, L. Frank (Lyman Frank)",The Sea Fairies
255,"Baum, L. Frank (Lyman Frank)",The Master Key: An Electrical Fairy Tale Founded Upon the Mysteries of Electricity
256,"Baum, L. Frank (Lyman Frank)",The Wonderful Wizard of Oz
257,"Baum, L. Frank (Lyman Frank)",John Dough and the Cherub
258,"Baum, L. Frank (Lyman Frank)",Tamawaca Folks: A Summer Comedy
259,"Baum, L. Frank (Lyman Frank)",The Scarecrow of Oz
260,"Baum, L. Frank (Lyman Frank)",The Enchanted Island of Yew: Whereon Prince Marvel Encountered the High Ki of Twi and Other Surprising People
261,"Baum, L. Frank (Lyman Frank)",The Life and Adventures of Santa Claus
262,"Baum, L. Frank (Lyman Frank)",Tik-Tok of Oz
263,"Baum, L. Frank (Lyman Frank)",Mother Goose in Prose
264,"Baum, L. Frank (Lyman Frank)",Annabel: A Novel for Young Folks
265,"Baum, L. Frank (Lyman Frank)",The Flying Girl
266,"Baum, L. Frank (Lyman Frank)",The Fate of a Crown
267,"Baum, L. Frank (Lyman Frank)",The Flying Girl and Her Chum
268,"Baum, L. Frank (Lyman Frank)",The Daring Twins: A Story for Young Folk
269,"Baum, L. Frank (Lyman Frank)",The Land of Oz
270,"Baum, L. Frank (Lyman Frank)","The Book of the Hamburgs: A Brief Treatise upon the Mating, Rearing and Management of the Different Varieties of Hamburgs"
271,"Baum, L. Frank (Lyman Frank)",Phoebe Daring: A Story for Young Folk
272,"Baum, L. Frank (Lyman Frank)",Daughters of Destiny
273,"Baum, L. Frank (Lyman Frank)",Sam Steele's Adventures in Panama
274,"Baum, L. Frank (Lyman Frank)",The Marvelous Land of Oz
275,"Baum, L. Frank (Lyman Frank)",The Last Egyptian: A Romance of the Nile
276,"Baum, L. Frank (Lyman Frank)",Sam Steele's Adventures on Land and Sea
277,"Baum, L. Frank (Lyman Frank)","Queen Zixi of Ix; Or, the Story of the Magic Cloak"
278,"Baum, L. Frank (Lyman Frank)",The Boy Fortune Hunters in the South Seas
279,"Baum, L. Frank (Lyman Frank)",The Boy Fortune Hunters in China
280,"Baum, L. Frank (Lyman Frank)",The Boy Fortune Hunters in Egypt
281,"Baum, L. Frank (Lyman Frank)",Mary Louise
282,"Baum, L. Frank (Lyman Frank)",Mary Louise Adopts a Soldier
283,"Baum, L. Frank (Lyman Frank)",The Boy Fortune Hunters in Alaska
284,"Baum, L. Frank (Lyman Frank)",The Boy Fortune Hunters in Panama
285,"Baum, L. Frank (Lyman Frank)",Rinkitink in Oz: Wherein Is Recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles That Lie Beyond the Borderland of Oz
286,"Baum, L. Frank (Lyman Frank)","The Tin Woodman of Oz: A Faithful Story of the Astonishing Adventure Undertaken by the Tin Woodman, Assisted by Woot the Wanderer, the Scarecrow of Oz, and Polychrome, the Rainbow's Daughter"
287,"Huxley, Thomas Henry",Discourses: Biological & Geological: Essays
288,"Huxley, Thomas Henry",Critiques and Addresses
289,"Huxley, Thomas Henry",Autobiography and Selected Essays
290,"Huxley, Thomas Henry",The Advance of Science in the Last Half-Century
291,"Huxley, Thomas Henry","Collected Essays, Volume V: Science and Christian Tradition: Essays"
292,"Huxley, Thomas Henry","American Addresses, with a Lecture on the Study of Biology"
293,"Huxley, Thomas Henry",Lectures and Essays
294,"Huxley, Thomas Henry","Lay Sermons, Addresses and Reviews"
295,"Huxley, Thomas Henry",Hume: (English Men of Letters Series)
296,"Huxley, Thomas Henry","Lectures on Evolution: Essay #3 from ""Science and Hebrew Tradition"""
297,"Huxley, Thomas Henry","Hasisadra's Adventure: Essay #7 from ""Science and Hebrew Tradition"""
298,"Huxley, Thomas Henry","The Evolution of Theology: an Anthropological Study: Essay #8 from ""Science and Hebrew Tradition"""
299,"Huxley, Thomas Henry","The Origin of Species: From 'The Westminster Review', April 1860"
300,"Huxley, Thomas Henry",Evidence as to Man's Place in Nature
301,"Huxley, Thomas Henry",On the Relations of Man to the Lower Animals
302,"Huxley, Thomas Henry",On Some Fossil Remains of Man
303,"Huxley, Thomas Henry","Evolution and Ethics, and Other Essays"
304,"Huxley, Thomas Henry",Aphorisms and Reflections from the Works of T. H. Huxley
305,"Huxley, Thomas Henry","Man's Place in Nature, and Other Essays"
306,"Huxley, Thomas Henry",Life and Letters of Thomas Henry Huxley — Volume 1
307,"Huxley, Thomas Henry",Life and Letters of Thomas Henry Huxley — Volume 2
308,"Huxley, Thomas Henry","Science and Culture, and Other Essays"
309,"Huxley, Thomas Henry",Life and Letters of Thomas Henry Huxley — Volume 3
310,"Huxley, Thomas Henry",The Crayfish: An Introduction to the Study of Zoology.
311,"Huxley, Thomas Henry","Science Primers, Introductory"
312,"Huxley, Thomas Henry",Darwiniana : Essays — Volume 02
313,"Huxley, Thomas Henry",Science & Education: Essays
314,"Farnol, Jeffery",Beltane the Smith
315,"Farnol, Jeffery",The Money Moon: A Romance
316,"Farnol, Jeffery",The Definite Object: A Romance of New York
317,"Farnol, Jeffery",My Lady Caprice
318,"Farnol, Jeffery",Black Bartlemy's Treasure
319,"Farnol, Jeffery",The Honourable Mr. Tawnish
320,"Farnol, Jeffery",Great Britain at War
321,"Farnol, Jeffery",Our Admirable Betty: A Romance
322,"Farnol, Jeffery",The Chronicles of the Imp: A Romance
323,"Farnol, Jeffery",The Broad Highway
324,"Farnol, Jeffery",Peregrine's Progress
325,"Farnol, Jeffery",The Geste of Duke Jocelyn
326,"Farnol, Jeffery",Martin Conisby's Vengeance
327,"Farnol, Jeffery",The Amateur Gentleman
328,"Brand, Max",Gunman's Reckoning
329,"Brand, Max",Bull Hunter
330,"Brand, Max",The Rangeland Avenger
331,"Brand, Max",The Untamed
332,"Brand, Max",Trailin'!
333,"Brand, Max",Alcatraz
334,"Brand, Max",Ronicky Doone
335,"Brand, Max",The Night Horseman
336,"Brand, Max",The Seventh Man
337,"Brand, Max",Riders of the Silences
338,"Brand, Max",The Garden of Eden
339,"Brand, Max",Harrigan
340,"Brand, Max",Way of the Lawless
341,"Brand, Max",Black Jack
342,"Stevenson, Burton Egbert",The Mystery of the Boule Cabinet: A Detective Story
343,"Stevenson, Burton Egbert",A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat
344,"Stevenson, Burton Egbert",Affairs of State: Being an Account of Certain Surprising Adventures Which Befell an American Family in the Land of Windmills
345,"Stevenson, Burton Egbert",The Gloved Hand
346,"Stevenson, Burton Egbert",American Men of Action
347,"Stevenson, Burton Egbert",The Holladay Case: A Tale
348,"Stevenson, Burton Egbert",American Men of Mind
349,"Stevenson, Burton Egbert",The Home Book of Verse — Volume 1
350,"Stevenson, Burton Egbert",The Home Book of Verse — Volume 2
351,"Stevenson, Burton Egbert",The Home Book of Verse — Volume 3
352,"Stevenson, Burton Egbert",The Home Book of Verse — Volume 4
353,"Stevenson, Burton Egbert",The Destroyer: A Tale of International Intrigue
354,"Stevenson, Burton Egbert","The Girl from Alsace: A Romance of the Great War, Originally Published under the Title of Little Comrade"
355,"Stevenson, Burton Egbert",The Young Train Dispatcher
356,"Stevenson, Burton Egbert",The Young Train Master
357,"Eggleston, Edward",Stories of Great Americans for Little Americans
358,"Eggleston, Edward",The Mystery of Metropolisville
359,"Eggleston, Edward",The End of the World: A Love Story
360,"Eggleston, Edward",The Hoosier Schoolmaster: A Story of Backwoods Life in Indiana
361,"Eggleston, Edward",Stories of American Life and Adventure
362,"Eggleston, Edward",Queer Stories for Boys and Girls
363,"Eggleston, Edward",The Hoosier School-boy
364,"Eggleston, Edward",Duffels
365,"Eggleston, Edward",The Faith Doctor: A Story of New York
366,"Eggleston, Edward",The Graysons: A Story of Illinois
367,"Eggleston, Edward","The Beginners of a Nation: A History of the Source and Rise of the Earliest English Settlements in America, with Special Reference to the Life and Character of the People"
368,"Bindloss, Harold",Lister's Great Adventure
369,"Bindloss, Harold","The Buccaneer Farmer: Published in England under the Title ""Askew's Victory"""
370,"Bindloss, Harold",The Lure of the North
371,"Bindloss, Harold",Alton of Somasco: A Romance of the Great Northwest
372,"Bindloss, Harold",Carmen's Messenger
373,"Bindloss, Harold",The Intriguers
374,"Bindloss, Harold",Ranching for Sylvia
375,"Bindloss, Harold",Winston of the Prairie
376,"Bindloss, Harold",The Gold Trail
377,"Bindloss, Harold",The Long Portage
378,"Bindloss, Harold",Prescott of Saskatchewan
